task_id,selector,policy,depth,delegation,correct,latency_s,subcalls,model_input_chars,surfaced_chars
s1,bm25,single,1,none,1,6.76,0,2489,92
s2,bm25,single,1,none,1,3.76,0,2493,91
s3,bm25,single,1,none,1,2.84,0,2477,93
s4,bm25,single,1,none,1,3.81,0,2468,91
s5,bm25,single,1,none,1,5.63,0,2487,89
s1,bm25,single,2,rlm,1,13.36,0,12435,3541
s2,bm25,single,2,rlm,0,13.10,0,9214,2131
s3,bm25,single,2,rlm,1,9.32,0,9183,2182
s4,bm25,single,2,rlm,1,13.91,0,9153,2120
s5,bm25,single,2,rlm,1,10.62,0,9208,2222
s1,embed,single,1,none,1,4.13,0,2500,92
s2,embed,single,1,none,1,17.62,0,6118,91
s3,embed,single,1,none,1,2.95,0,2488,93
s4,embed,single,1,none,1,9.22,0,2479,171
s5,embed,single,1,none,1,2.74,0,2498,89
s1,embed,single,2,rlm,1,13.04,0,8879,2140
s2,embed,single,2,rlm,1,10.65,0,9225,2140
s3,embed,single,2,rlm,1,14.81,0,9194,2182
s4,embed,single,2,rlm,1,30.50,0,12859,2132
s5,embed,single,2,rlm,1,15.98,0,9219,2222
