task_id,selector,policy,depth,delegation,root_model,sub_model,correct,latency_s,root_steps,subcalls,repl_blocks,retrieval_calls,surfaced_chars,repl_output_chars,subcall_input_chars,subcall_output_chars,model_input_chars,rlm_queries,rlm_cache_hits,rlm_cache_misses,retrieval_cache_hits,retrieval_cache_misses
t1,stuff,single,1,none,gpt-5.2,gpt-5.2,0,4.99,1,0,1,0,288,200,0,0,2463,0,0,0,0,0
t2,stuff,single,1,none,gpt-5.2,gpt-5.2,0,2.16,1,0,1,0,288,200,0,0,2444,0,0,0,0,0
t3,stuff,single,1,none,gpt-5.2,gpt-5.2,1,2.63,1,0,1,0,102,22,0,0,2427,0,0,0,0,0
t4,stuff,single,1,none,gpt-5.2,gpt-5.2,1,4.53,2,0,2,0,821,319,0,0,6347,0,0,0,0,0
t5,stuff,single,1,none,gpt-5.2,gpt-5.2,0,2.33,1,0,1,0,288,200,0,0,2436,0,0,0,0,0
t6,stuff,single,1,none,gpt-5.2,gpt-5.2,1,2.27,1,0,1,0,83,3,0,0,2435,0,0,0,0,0
t7,stuff,single,1,none,gpt-5.2,gpt-5.2,1,2.36,1,0,1,0,95,15,0,0,2434,0,0,0,0,0
t8,stuff,single,1,none,gpt-5.2,gpt-5.2,0,2.15,1,0,1,0,288,200,0,0,2441,0,0,0,0,0
t1,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,3.98,1,1,1,0,223,133,517,133,2877,0,0,0,0,0
t2,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,4.33,1,1,1,0,145,65,535,65,2858,0,0,0,0,0
t3,stuff,single,1,llm,gpt-5.2,gpt-5.2,1,4.29,1,1,1,0,124,44,515,44,2841,0,0,0,0,0
t4,stuff,single,1,llm,gpt-5.2,gpt-5.2,1,4.62,1,1,1,0,119,39,505,39,2840,0,0,0,0,0
t5,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,4.49,1,1,1,0,114,34,527,34,2850,0,0,0,0,0
t6,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,3.99,1,1,1,0,165,85,518,85,2849,0,0,0,0,0
t7,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,4.01,1,1,1,0,110,30,523,30,2848,0,0,0,0,0
t8,stuff,single,1,llm,gpt-5.2,gpt-5.2,0,3.91,1,1,1,0,146,66,532,66,2855,0,0,0,0,0
t1,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,8.95,3,0,3,0,2202,951,0,0,9545,1,0,1,0,0
t2,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,9.88,3,0,3,0,2112,886,0,0,8906,1,0,1,0,0
t3,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,9.05,3,0,3,0,2148,923,0,0,9142,1,0,1,0,0
t4,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,7.77,3,0,3,0,2072,868,0,0,8850,1,0,1,0,0
t5,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,8.01,3,0,3,0,2158,909,0,0,8898,1,0,1,0,0
t6,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,9.37,3,0,3,0,2138,899,0,0,8954,1,0,1,0,0
t7,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,10.34,3,0,3,0,2186,935,0,0,9134,1,0,1,0,0
t8,stuff,single,2,rlm,gpt-5.2,gpt-5.2,1,12.47,5,0,3,0,2120,890,0,0,16353,1,0,1,0,0
t1,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,4.71,1,1,1,0,164,84,517,84,3301,0,0,0,0,0
t2,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,5.88,1,1,1,0,192,112,535,112,3266,0,0,0,0,0
t3,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,7.05,1,1,1,0,124,44,515,44,3255,0,0,0,0,0
t4,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,4.83,1,1,1,0,119,39,505,39,3275,0,0,0,0,0
t5,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,7.95,1,1,1,0,226,146,527,146,3258,0,0,0,0,0
t6,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,4.88,1,1,1,0,177,97,518,97,3270,0,0,0,0,0
t7,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,4.62,1,1,1,0,172,82,523,82,3261,0,0,0,0,0
t8,stuff,single,2,llm,gpt-5.2,gpt-5.2,1,5.87,1,1,1,0,226,146,532,146,3263,0,0,0,0,0
t1,stuff,expand,1,none,gpt-5.2,gpt-5.2,0,2.04,1,0,1,0,288,200,0,0,2463,0,0,0,0,0
t2,stuff,expand,1,none,gpt-5.2,gpt-5.2,0,3.34,1,0,1,0,288,200,0,0,2444,0,0,0,0,0
t3,stuff,expand,1,none,gpt-5.2,gpt-5.2,1,2.51,1,0,1,0,102,22,0,0,2427,0,0,0,0,0
t4,stuff,expand,1,none,gpt-5.2,gpt-5.2,0,3.88,2,0,2,0,821,319,0,0,6347,0,0,0,0,0
t5,stuff,expand,1,none,gpt-5.2,gpt-5.2,0,6.40,2,0,1,0,288,200,0,0,5527,0,0,0,0,0
t6,stuff,expand,1,none,gpt-5.2,gpt-5.2,1,2.46,1,0,1,0,83,3,0,0,2435,0,0,0,0,0
t7,stuff,expand,1,none,gpt-5.2,gpt-5.2,1,1.84,1,0,1,0,95,15,0,0,2434,0,0,0,0,0
t8,stuff,expand,1,none,gpt-5.2,gpt-5.2,0,2.34,1,0,1,0,288,200,0,0,2441,0,0,0,0,0
t1,stuff,expand,1,llm,gpt-5.2,gpt-5.2,0,6.14,1,1,1,0,239,149,517,149,2877,0,0,0,0,0
t2,stuff,expand,1,llm,gpt-5.2,gpt-5.2,0,5.76,1,1,1,0,118,38,535,38,2858,0,0,0,0,0
t3,stuff,expand,1,llm,gpt-5.2,gpt-5.2,1,4.57,1,1,1,0,124,44,515,44,2841,0,0,0,0,0
t4,stuff,expand,1,llm,gpt-5.2,gpt-5.2,1,4.48,1,1,1,0,119,39,505,39,2840,0,0,0,0,0
t5,stuff,expand,1,llm,gpt-5.2,gpt-5.2,0,4.27,1,1,1,0,135,55,527,55,2850,0,0,0,0,0
t6,stuff,expand,1,llm,gpt-5.2,gpt-5.2,0,5.21,1,1,1,0,165,85,518,85,2849,0,0,0,0,0
t7,stuff,expand,1,llm,gpt-5.2,gpt-5.2,1,3.80,1,1,1,0,148,68,523,68,2848,0,0,0,0,0
t8,stuff,expand,1,llm,gpt-5.2,gpt-5.2,0,4.53,1,1,1,0,146,66,532,66,2855,0,0,0,0,0
t1,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,10.20,3,0,3,0,2196,948,0,0,9545,1,0,1,0,0
t2,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,9.50,4,0,3,0,2116,888,0,0,12307,1,0,1,0,0
t3,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,11.18,3,0,3,0,2150,924,0,0,9142,1,0,1,0,0
t4,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,7.40,3,0,3,0,2130,897,0,0,8850,1,0,1,0,0
t5,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,11.33,3,0,3,0,2108,884,0,0,8898,1,0,1,0,0
t6,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,10.82,3,0,3,0,1770,717,0,0,8954,1,0,1,0,0
t7,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,10.81,3,0,3,0,2186,935,0,0,9134,1,0,1,0,0
t8,stuff,expand,2,rlm,gpt-5.2,gpt-5.2,1,9.60,3,0,3,0,2158,909,0,0,8903,1,0,1,0,0
t1,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,6.59,1,1,1,0,164,84,517,84,3301,0,0,0,0,0
t2,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,6.59,1,1,1,0,192,112,535,112,3266,0,0,0,0,0
t3,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,4.89,1,1,1,0,124,44,515,44,3255,0,0,0,0,0
t4,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,8.93,1,1,1,0,119,39,505,39,3275,0,0,0,0,0
t5,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,5.47,1,1,1,0,226,146,527,146,3258,0,0,0,0,0
t6,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,5.98,1,1,1,0,177,97,518,97,3270,0,0,0,0,0
t7,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,9.78,1,1,1,0,164,82,523,82,3261,0,0,0,0,0
t8,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,5.69,1,1,1,0,226,146,532,146,3263,0,0,0,0,0
t1,stuff,iterative,1,none,gpt-5.2,gpt-5.2,0,2.50,1,0,1,0,288,200,0,0,2463,0,0,0,0,0
